                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2331,                 4.5849,                 1.6444,                0.17397,                0.39711,                0.24705,                0.18482,                 1.0493,                 2.7566,                  1.471,               0.070316,              0.0032982,              0.0032982
                      1,                0.92664,                  2.549,                 1.3424,                0.64354,                0.45164,                0.57786,                0.47319,                0.83203,                 2.1757,                  1.294,                0.04025,              0.0065659,              0.0065659
                      2,                0.90889,                 2.0304,                  1.301,                0.52653,                0.70842,                0.67639,                0.49025,                 1.1586,                 1.6095,                 1.5025,               0.010118,              0.0097676,              0.0097676
                      3,                0.93408,                 1.8095,                 1.2975,                0.37889,                0.64168,                0.55796,                0.38854,                 1.2175,                 1.8871,                 1.6294,               0.009703,               0.009703,               0.009703
                      4,                 0.9412,                 1.6735,                 1.2993,                0.58587,                  0.749,                0.75417,                0.55733,                 1.0091,                 1.4175,                 1.4547,               0.009703,               0.009703,               0.009703
                      5,                 0.9397,                 1.6022,                 1.3021,                0.71923,                0.62978,                0.76715,                0.51473,                 1.2896,                 1.5906,                 1.6791,               0.009604,               0.009604,               0.009604
                      6,                0.92201,                 1.4988,                 1.2832,                0.73066,                 0.7161,                0.83612,                0.62056,                0.98974,                 1.2754,                 1.4158,               0.009505,               0.009505,               0.009505
                      7,                 0.9177,                 1.4693,                 1.2793,                0.76382,                 0.7364,                0.86257,                0.65429,                 1.0103,                 1.0406,                  1.451,               0.009406,               0.009406,               0.009406
                      8,                0.86837,                  1.309,                 1.2267,                0.72665,                0.81754,                  0.883,                0.66518,                 1.0242,                 1.0986,                 1.3782,               0.009307,               0.009307,               0.009307
                      9,                0.88202,                 1.2775,                 1.2388,                0.77529,                0.78495,                0.86796,                0.67168,                 0.9971,                 1.0185,                 1.4368,               0.009208,               0.009208,               0.009208
                     10,                0.86808,                 1.2791,                 1.2387,                0.79596,                0.85848,                0.90893,                0.72935,                0.86332,                0.76502,                 1.2656,               0.009109,               0.009109,               0.009109
                     11,                0.84829,                 1.2092,                 1.2204,                0.79868,                0.76836,                0.87582,                0.65381,                 1.0167,                0.93664,                 1.3738,                0.00901,                0.00901,                0.00901
                     12,                0.83983,                 1.1752,                 1.2255,                0.80923,                0.76726,                0.89191,                0.70961,                0.89137,                0.88522,                 1.3036,               0.008911,               0.008911,               0.008911
